,volume,market_cap,high,low,close,open,date,log_diff,target
223,581731.80679,581731.80679,202.0,192.0,195.31,200.16,21-03-2021 17:00:00,-0.024529006869800973,0
224,473637.43878,473637.43878,206.1,198.82,200.17,199.96,20-03-2021 17:00:00,0.0010496589572444037,1
225,536877.41275,536877.41275,205.0,195.81,199.96,199.72,19-03-2021 17:00:00,0.0012009609129615129,1
226,536877.41275,536877.41275,205.0,195.81,199.96,199.72,19-03-2021 17:00:00,0.0012009609129615129,1
227,774419.42586,774419.42586,208.25,199.13,199.7,205.96,18-03-2021 17:00:00,-0.030865734756170937,0
228,885644.66746,885644.66746,206.94,194.13,205.98,201.61,17-03-2021 17:00:00,0.021443938556036102,1
229,1063051.80222,1063051.80222,205.53,191.15,201.6,200.59,16-03-2021 17:00:00,0.005022512360607578,1
230,1413381.72445,1413381.72445,222.58,197.56,200.59,214.0,15-03-2021 17:00:00,-0.0647129911852451,0
231,981380.1209,981380.1209,203.54,191.03,201.36,200.29,11-03-2021 17:00:00,0.0053280345139192775,1
232,1422079.58464,1422079.58464,208.0,191.47,200.29,203.8,10-03-2021 17:00:00,-0.017372804475483505,0
233,1485337.09208,1485337.09208,194.4,176.83,180.67,187.7,04-03-2021 17:00:00,-0.03817278080662678,0
234,1873295.01116,1873295.01116,196.49,176.79,187.64,179.06,03-03-2021 17:00:00,0.046804288254246984,1
235,1441741.00235,1441741.00235,185.32,170.69,179.08,175.9,02-03-2021 17:00:00,0.017916981629253037,1
236,1216268.49518,1216268.49518,176.46,163.3,175.89,165.27,01-03-2021 17:00:00,0.06227829949149832,1
237,1682228.22219,1682228.22219,173.42,152.88,165.22,171.75,28-02-2021 17:00:00,-0.038762011968099586,0
238,2180233.25143,2180233.25143,182.86,162.74,170.25,179.36,26-02-2021 17:00:00,-0.052127014294227614,0
239,1961972.0422,1961972.0422,205.21,175.0,179.36,181.43,25-02-2021 17:00:00,-0.011474945058221664,0
240,1766938.56965,1766938.56965,158.68,141.03,145.07,155.94,04-02-2021 17:00:00,-0.07225493333064303,0
241,1820822.28924,1820822.28924,156.7,141.92,155.93,141.96,03-02-2021 17:00:00,0.09386186081849779,1
242,1884558.49538,1884558.49538,145.82,131.87,141.98,131.99,02-02-2021 17:00:00,0.07296004047037652,1
243,1167609.37029,1167609.37029,136.63,125.95,132.0,129.37,01-02-2021 17:00:00,0.020125406656560152,1
244,917993.35191,917993.35191,135.06,125.67,129.36,133.35,31-01-2021 17:00:00,-0.030378035359172273,0
245,1240323.68178,1240323.68178,134.96,118.13,122.44,134.69,27-01-2021 17:00:00,-0.09535472753351204,0
246,1093141.08136,1093141.08136,139.76,127.85,134.67,137.07,26-01-2021 17:00:00,-0.01766440278133885,0
247,1380902.3935,1380902.3935,147.87,136.62,137.07,141.01,25-01-2021 17:00:00,-0.028339065605849534,0
248,917459.85058,917459.85058,142.65,133.73,141.01,137.66,24-01-2021 17:00:00,0.024043932878920593,1
249,969988.56158,969988.56158,143.52,135.05,137.67,137.65,23-01-2021 17:00:00,0.0001452854862353803,1
